ANumber,Triangle,Type,Trait,Sequence
A078521,DArcais,Std,Triangle,[1 0 1 0 3 1 0 8 9 1 ]
nothing,DArcais,Std,Reverse,[1 1 0 1 3 0 1 9 8 0 ]
nothing,DArcais,Std,Inverse,[1 0 1 0 -3 1 0 19 -9 1 ]
nothing,DArcais,Std,RevInv,[1 1 0 1 -3 0 1 -9 19 0 ]
nothing,DArcais,Std,DiagTri,[1 0 0 1 0 3 0 8 1 0 ]
nothing,DArcais,Std,PolyTri,[1 0 1 0 1 1 0 4 2 1 ]
A053529,DArcais,Std,Sum,[1 1 4 18 120 840 7920 75600 887040 10886400 ]
nothing,DArcais,Std,EvenSum,[1 0 1 9 60 480 3960 40320 443520 5443200 ]
nothing,DArcais,Std,OddSum,[0 1 3 9 60 360 3960 35280 443520 5443200 ]
A293140,DArcais,Std,AltSum,[1 -1 -2 0 0 120 0 5040 0 0 ]
nothing,DArcais,Std,DiagSum,[1 0 1 3 9 51 204 1908 9370 109017 ]
nothing,DArcais,Std,Middle,[1 0 3 8 59 450 2475 28294 147889 2341332 ]
nothing,DArcais,Std,Central,[1 3 59 2475 147889 11744775 1163220575 137914387611 19052174174033 3005469776175867 ]
A000007,DArcais,Std,LeftSide,[1 0 0 0 0 0 0 0 0 0 ]
A000012,DArcais,Std,RightSide,[1 1 1 1 1 1 1 1 1 1 ]
nothing,DArcais,Std,PosHalf,[1 1 7 51 609 6825 122535 1890315 41928705 884551185 ]
nothing,DArcais,Std,NegHalf,[1 1 -5 15 -135 -495 -9405 -237825 363825 -42652575 ]
nothing,DArcais,Std,PolyVal2,[1 2 10 60 480 4320 46800 554400 7459200 108864000 ]
nothing,DArcais,Std,PolyVal3,[1 3 18 132 1224 12960 159120 2162160 32659200 536699520 ]
nothing,DArcais,Std,BinConv,[1 1 7 52 595 7521 117796 2033004 39834159 852065323 ]
nothing,DArcais,Std,IBinConv,[1 1 -5 -2 115 -1779 976 79668 -2574417 32044003 ]
nothing,DArcais,Std,TransSqrs,[0 1 7 53 456 4384 47492 566516 7457384 106329384 ]
A057623,DArcais,Std,TransNat0,[0 1 5 29 218 1814 18144 196356 2427312 32304240 ]
nothing,DArcais,Std,TransNat1,[1 2 9 47 338 2654 26064 271956 3314352 43190640 ]
